bank_name,city,audience_type,interest_rate,loan_amount,tenure_years,emi_amount,total_interest,total_payment
SBI,Bangalore,Salaried - Government/PSU,8.56,5000000,15,49413.0,3894338.0,8894338.0
SBI,Bangalore,Salaried - Government/PSU,8.56,5000000,20,43581.0,5459494.0,10459494.0
SBI,Bangalore,Salaried - Government/PSU,8.56,5000000,25,40464.0,7139117.0,12139117.0
SBI,Bangalore,Salaried - Government/PSU,8.56,7500000,15,74119.0,5841507.0,13341507.0
SBI,Bangalore,Salaried - Government/PSU,8.56,7500000,20,65372.0,8189240.0,15689240.0
SBI,Bangalore,Salaried - Government/PSU,8.56,7500000,25,60696.0,10708675.0,18208675.0
SBI,Bangalore,Self-Employed - Professional,8.66,3000000,15,29824.0,2368360.0,5368360.0
SBI,Bangalore,Self-Employed - Professional,8.66,3000000,20,26339.0,3321430.0,6321430.0
SBI,Bangalore,Self-Employed - Professional,8.66,3000000,25,24481.0,4344340.0,7344340.0
SBI,Bangalore,Self-Employed - Professional,8.66,5000000,15,49707.0,3947267.0,8947267.0
SBI,Bangalore,Self-Employed - Professional,8.66,5000000,20,43899.0,5535717.0,10535717.0
SBI,Bangalore,Self-Employed - Professional,8.66,5000000,25,40802.0,7240567.0,12240567.0
SBI,Bangalore,Self-Employed - Professional,8.66,7500000,15,74561.0,5920901.0,13420901.0
SBI,Bangalore,Self-Employed - Professional,8.66,7500000,20,65848.0,8303575.0,15803575.0
SBI,Bangalore,Self-Employed - Professional,8.66,7500000,25,61203.0,10860851.0,18360851.0
SBI,Bangalore,Self-Employed - Business,8.66,3000000,15,29824.0,2368360.0,5368360.0
SBI,Bangalore,Self-Employed - Business,8.66,3000000,20,26339.0,3321430.0,6321430.0
SBI,Bangalore,Self-Employed - Business,8.66,3000000,25,24481.0,4344340.0,7344340.0
SBI,Bangalore,Self-Employed - Business,8.66,5000000,15,49707.0,3947267.0,8947267.0
SBI,Bangalore,Self-Employed - Business,8.66,5000000,20,43899.0,5535717.0,10535717.0
SBI,Bangalore,Self-Employed - Business,8.66,5000000,25,40802.0,7240567.0,12240567.0
SBI,Bangalore,Self-Employed - Business,8.66,7500000,15,74561.0,5920901.0,13420901.0
SBI,Bangalore,Self-Employed - Business,8.66,7500000,20,65848.0,8303575.0,15803575.0
SBI,Bangalore,Self-Employed - Business,8.66,7500000,25,61203.0,10860851.0,18360851.0
SBI,Bangalore,Self-Employed - SME,8.66,3000000,15,29824.0,2368360.0,5368360.0
SBI,Bangalore,Self-Employed - SME,8.66,3000000,20,26339.0,3321430.0,6321430.0
SBI,Bangalore,Self-Employed - SME,8.66,3000000,25,24481.0,4344340.0,7344340.0
SBI,Bangalore,Self-Employed - SME,8.66,5000000,15,49707.0,3947267.0,8947267.0
SBI,Bangalore,Self-Employed - SME,8.66,5000000,20,43899.0,5535717.0,10535717.0
SBI,Bangalore,Self-Employed - SME,8.66,5000000,25,40802.0,7240567.0,12240567.0
SBI,Bangalore,Self-Employed - SME,8.66,7500000,15,74561.0,5920901.0,13420901.0
SBI,Bangalore,Self-Employed - SME,8.66,7500000,20,65848.0,8303575.0,15803575.0
SBI,Bangalore,Self-Employed - SME,8.66,7500000,25,61203.0,10860851.0,18360851.0
SBI,Bangalore,Self-Employed - Startup,8.81,3000000,15,30090.0,2416173.0,5416173.0
SBI,Bangalore,Self-Employed - Startup,8.81,3000000,20,26626.0,3390308.0,6390308.0
SBI,Bangalore,Self-Employed - Startup,8.81,3000000,25,24787.0,4436016.0,7436016.0
SBI,Bangalore,Self-Employed - Startup,8.81,5000000,15,50150.0,4026956.0,9026956.0
